Headline 1,Headline 2
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"City Council approves $32,750 contract for police recruitment videos."
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"City Council accepts a $250,000 state grant for the Smallman Street project."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.",Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
"Council approves an additional $382,513 for the Haverhill stormwater and road project.",Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,City Council authorizes an agreement with PennDOT to share road and bridge maintenance.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,Council delays vote on canceling a property sale for one week.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council holds resolution to rescind 2022 property sale for one week
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23."
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"A resolution for a $33,292 tuition reimbursement is held in committee."
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council holds tuition reimbursement payment for Mohammed Burny for further review
"Council holds resolution to sell city-owned property on Itin Street for $3,755.",Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council delays decision on sale of 23rd Ward property.,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
City Council holds resolution on sale of 23rd Ward property for two weeks,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,Council delays decision on agreement allowing community college students to train with city emergency medical services.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,Proposed EMS student training partnership with the community college is held in committee.
Council holds decision on EMS student training agreement with Community College of Allegheny County,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district."
"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170."
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements."
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.",Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees.",Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
"Council recommends paying a $72,500 debt for 811 damage prevention calls.",Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts"
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.
The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290."
Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"Council recommends selling a URA-owned lot on Island Avenue for $3,600."
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500."
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
Council refers sewage plan for new South Side townhome development to committee.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200."
"City to be paid $8,200 for allowing ALCOSAN to build sewer tunnels under nine city properties.",Council reviews a sewage plan update for a new apartment building on McKee Place.
"City approves easements for underground tunnels on nine city properties with $8,200 payment",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.
City Council introduces legislation to transfer 14 properties to the Larimer Consensus Group to settle multiple lawsuits.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs."
Council reviews a sewage plan update for a new apartment building on McKee Place.,"Council introduces a resolution to apply for a $250,000 state grant for the Emerald View Trail rehabilitation project."
"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.
Council reviews a sewage plan update for a new apartment building on McKee Place.,University of Pittsburgh would provide supplemental trash pickup in Oakland under a proposed agreement.
Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit.",Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
"City accepts $316,367 to settle lawsuit involving the Finland Street Pedestrian Bridge.",Council reviews a sewage plan update for a new apartment building on McKee Place.
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
City Council authorizes a no-cost agreement with USI Insurance Services for insurance brokerage services.,Council reviews a sewage plan update for a new apartment building on McKee Place.
"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
City Council approves over $1 million in new federal funding for improvements on Liberty Avenue.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
"Council approves $32,750 contract for video production company to create police recruitment videos.",Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
"City Council approves $32,750 contract for police recruitment videos.",Council reviews a sewage plan update for a new apartment building on McKee Place.
"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
"City Council accepts a $250,000 state grant for the Smallman Street project.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
Council approves $5.4 million increase for Liberty Avenue highway safety project costs.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
Council reviews a sewage plan update for a new apartment building on McKee Place.,City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
Council reviews a sewage plan update for a new apartment building on McKee Place.,"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety."
"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
Council reviews a sewage plan update for a new apartment building on McKee Place.,"Council approves an additional $382,513 for the Haverhill stormwater and road project."
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.
City Council authorizes an agreement with PennDOT to share road and bridge maintenance.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week."
Council reviews a sewage plan update for a new apartment building on McKee Place.,Council delays vote on canceling a property sale for one week.
Council holds resolution to rescind 2022 property sale for one week,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23."
"A resolution for a $33,292 tuition reimbursement is held in committee.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,Council holds tuition reimbursement payment for Mohammed Burny for further review
"Council holds resolution to sell city-owned property on Itin Street for $3,755.",Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
Council delays decision on sale of 23rd Ward property.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,City Council holds resolution on sale of 23rd Ward property for two weeks
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks"
Council delays decision on agreement allowing community college students to train with city emergency medical services.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
Proposed EMS student training partnership with the community college is held in committee.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,Council holds decision on EMS student training agreement with Community College of Allegheny County
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.
"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty"
"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.
Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,Council reviews a sewage plan update for a new apartment building on McKee Place.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.",Council reviews a sewage plan update for a new apartment building on McKee Place.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees."
Council reviews a sewage plan update for a new apartment building on McKee Place.,"Council recommends paying a $72,500 debt for 811 damage prevention calls."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290."
Council reviews a sewage plan update for a new apartment building on McKee Place.,Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.
Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
"Council recommends selling a URA-owned lot on Island Avenue for $3,600.",Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500."
Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,Council adopts sewage plan revision for 296 McKee Place at no cost to the city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200."
"City to be paid $8,200 for allowing ALCOSAN to build sewer tunnels under nine city properties.",Council refers sewage plan for new South Side townhome development to committee.
"City approves easements for underground tunnels on nine city properties with $8,200 payment",Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.
Council refers sewage plan for new South Side townhome development to committee.,City Council introduces legislation to transfer 14 properties to the Larimer Consensus Group to settle multiple lawsuits.
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs."
"Council introduces a resolution to apply for a $250,000 state grant for the Emerald View Trail rehabilitation project.",Council refers sewage plan for new South Side townhome development to committee.
"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding",Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,Council refers resolution to approve sewage plan for South Side townhome development to committee.
Council refers sewage plan for new South Side townhome development to committee.,University of Pittsburgh would provide supplemental trash pickup in Oakland under a proposed agreement.
Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit.",Council refers resolution to approve sewage plan for South Side townhome development to committee.
"City accepts $316,367 to settle lawsuit involving the Finland Street Pedestrian Bridge.",Council refers sewage plan for new South Side townhome development to committee.
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.
City Council authorizes a no-cost agreement with USI Insurance Services for insurance brokerage services.,Council refers sewage plan for new South Side townhome development to committee.
"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services",Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.
City Council approves over $1 million in new federal funding for improvements on Liberty Avenue.,Council refers sewage plan for new South Side townhome development to committee.
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,Council approves $1.06 million increase in Liberty Avenue project budget with federal funding
Council refers resolution to approve sewage plan for South Side townhome development to committee.,"Council approves $32,750 contract for video production company to create police recruitment videos."
Council refers sewage plan for new South Side townhome development to committee.,"City Council approves $32,750 contract for police recruitment videos."
"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",Council adopts sewage plan revision for 215 South 21st Street at no cost to city
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",Council refers resolution to approve sewage plan for South Side townhome development to committee.
Council refers sewage plan for new South Side townhome development to committee.,"City Council accepts a $250,000 state grant for the Smallman Street project."
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Council refers sewage plan for new South Side townhome development to committee.
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
Council refers resolution to approve sewage plan for South Side townhome development to committee.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
Council refers sewage plan for new South Side townhome development to committee.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project
Council refers resolution to approve sewage plan for South Side townhome development to committee.,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.",Council refers sewage plan for new South Side townhome development to committee.
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629.",Council refers resolution to approve sewage plan for South Side townhome development to committee.
"Council approves an additional $382,513 for the Haverhill stormwater and road project.",Council refers sewage plan for new South Side townhome development to committee.
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.
Council refers sewage plan for new South Side townhome development to committee.,City Council authorizes an agreement with PennDOT to share road and bridge maintenance.
City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",Council refers resolution to approve sewage plan for South Side townhome development to committee.
Council delays vote on canceling a property sale for one week.,Council refers sewage plan for new South Side townhome development to committee.
Council holds resolution to rescind 2022 property sale for one week,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23.",Council refers resolution to approve sewage plan for South Side townhome development to committee.
Council refers sewage plan for new South Side townhome development to committee.,"A resolution for a $33,292 tuition reimbursement is held in committee."
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,Council holds tuition reimbursement payment for Mohammed Burny for further review
Council refers resolution to approve sewage plan for South Side townhome development to committee.,"Council holds resolution to sell city-owned property on Itin Street for $3,755."
Council refers sewage plan for new South Side townhome development to committee.,Council delays decision on sale of 23rd Ward property.
City Council holds resolution on sale of 23rd Ward property for two weeks,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement.",Council refers resolution to approve sewage plan for South Side townhome development to committee.
"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",Council refers sewage plan for new South Side townhome development to committee.
"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council delays decision on agreement allowing community college students to train with city emergency medical services.
Proposed EMS student training partnership with the community college is held in committee.,Council refers sewage plan for new South Side townhome development to committee.
Council holds decision on EMS student training agreement with Community College of Allegheny County,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council refers resolution to approve sewage plan for South Side townhome development to committee.,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.
Council refers sewage plan for new South Side townhome development to committee.,"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district."
