Headline 1,Headline 2
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",City Council approves sewage plan revision for 296 McKee Place at no cost to the City
Council approves sewage plan revision for South Side townhome development at no cost to the City.,"Council transfers $10,000 from salaries to City Clerk's office for professional services."
Council approves sewer plan for new Josephine Street Townhomes.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City
"Council transfers $10,000 from salaries to City Clerk's office for professional services.","Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties."
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",City grants ALCOSAN underground land access for a major sewer project.
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services","City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200"
"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call.","Council transfers $10,000 from salaries to City Clerk's office for professional services."
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",Council schedules hearing on aging public safety vehicles.
"Council schedules special meeting to address EMS, fire, and police fleet issues","Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
Council holds public hearing on bill to reduce minimum lot sizes for residential development.,"Council transfers $10,000 from salaries to City Clerk's office for professional services."
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.
Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
"Council transfers $10,000 from salaries to City Clerk's office for professional services.","Council holds resolution to sell city-owned property on Itin Street for $3,755."
Council holds proposed sale of Itin Street property for one week.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
City Council holds resolution for sale of 23rd Ward property for one week,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
"Council transfers $10,000 from salaries to City Clerk's office for professional services.","Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks."
"$33,292 transfer for council staff tuition reimbursement is held for six weeks.","Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
"City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks","Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
"Council approves $40,000 contract with law firm for immigration legal services.","Council transfers $10,000 from salaries to City Clerk's office for professional services."
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.","City approves $40,000 contract for immigration legal services."
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services","Council approves $40,000 contract for immigration legal services with Fragomen firm"
"Council transfers $10,000 from salaries to City Clerk's office for professional services.",Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",Legislation to increase paid sick days for workers advances to a public hearing.
Council holds Bill 1736 on paid sick leave accrual rates for public hearing,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,"Council transfers $10,000 from salaries to City Clerk's office for professional services."
University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city
"Council transfers $10,000 from salaries to City Clerk's office for professional services.",Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.
Six new bus shelters will be built in Hazelwood at no cost to the city.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council transfers $10,000 from salaries to City Clerk's office for professional services."
Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,"Council transfers $10,000 from salaries to City Clerk's office for professional services."
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.","Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Council proposes eleven contracts with five vendors for on-call special events services.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads","City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.
Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Proposed ordinance would allow residents to create native plant gardens.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council introduces ordinance allowing residents to plant and maintain managed natural landscapes
Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
Council designates Donny's Place historic over owner and commission objections.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition
Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",Council cancels sale of 136 Bodkin Street property and orders refund of hand money.
City Council rescinds sale of 136 Bodkin Street.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.
"Council approves sale of 14 city-owned lots in Larimer for $26,677.","City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.","$37,000 grant approved for old sexual assault case investigations."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads","Council approves $37,000 grant agreement to support police investigations and training"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds."
"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.","City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council approves grant application and city funding for Emerald View Trail rehabilitation project
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",Council passes ordinance clarifying rules for posting residential parking permit signs.
New ordinance clarifies which streets and at what times residential parking permits will be enforced.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council approves clearer rules for residential parking permit signage
Council expands residential permit parking program to more South Side Flats streets.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
More streets in the South Side Flats added to residential permit parking zone.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council approves expansion of Residential Permit Parking Area KK in South Side Flats
Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Council approves sewer connection for new Walnut McKee Apartments.
City Council approves sewage plan revision for 296 McKee Place at no cost to the City,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
Council approves sewage plan revision for South Side townhome development at no cost to the City.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Council approves sewer plan for new Josephine Street Townhomes.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City
"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.","Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
City grants ALCOSAN underground land access for a major sewer project.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads","City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Council schedules hearing on aging public safety vehicles.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads","Council schedules special meeting to address EMS, fire, and police fleet issues"
Council holds public hearing on bill to reduce minimum lot sizes for residential development.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","Council holds resolution to sell city-owned property on Itin Street for $3,755."
Council holds proposed sale of Itin Street property for one week.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
City Council holds resolution for sale of 23rd Ward property for one week,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.","$33,292 transfer for council staff tuition reimbursement is held for six weeks."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads","City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.","Council approves $40,000 contract with law firm for immigration legal services."
"City approves $40,000 contract for immigration legal services.","City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves $40,000 contract for immigration legal services with Fragomen firm","Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Legislation to increase paid sick days for workers advances to a public hearing.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council holds Bill 1736 on paid sick leave accrual rates for public hearing
Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.
Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Six new bus shelters will be built in Hazelwood at no cost to the city.
City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads"
"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City
Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council authorizes temporary construction easements on city property for Smithfield Street repair project.
Council proposes eleven contracts with five vendors for on-call special events services.,City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.
Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,Council proposes eleven contracts with five vendors for on-call special events services.
Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Proposed ordinance would allow residents to create native plant gardens.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council introduces ordinance allowing residents to plant and maintain managed natural landscapes
Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Council designates Donny's Place historic over owner and commission objections.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.
Council proposes eleven contracts with five vendors for on-call special events services.,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.
Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council cancels sale of 136 Bodkin Street property and orders refund of hand money.
City Council rescinds sale of 136 Bodkin Street.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit
City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
"Council approves sale of 14 city-owned lots in Larimer for $26,677.",Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.","Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
"$37,000 grant approved for old sexual assault case investigations.",Council proposes eleven contracts with five vendors for on-call special events services.
"Council approves $37,000 grant agreement to support police investigations and training","City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.","Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds."
Council proposes eleven contracts with five vendors for on-call special events services.,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation."
Council approves grant application and city funding for Emerald View Trail rehabilitation project,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
Council passes ordinance clarifying rules for posting residential parking permit signs.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
New ordinance clarifies which streets and at what times residential parking permits will be enforced.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council approves clearer rules for residential parking permit signage
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council expands residential permit parking program to more South Side Flats streets.
Council proposes eleven contracts with five vendors for on-call special events services.,More streets in the South Side Flats added to residential permit parking zone.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council approves expansion of Residential Permit Parking Area KK in South Side Flats
Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Council approves sewer connection for new Walnut McKee Apartments.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",City Council approves sewage plan revision for 296 McKee Place at no cost to the City
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council approves sewage plan revision for South Side townhome development at no cost to the City.
Council proposes eleven contracts with five vendors for on-call special events services.,Council approves sewer plan for new Josephine Street Townhomes.
City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.","Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
City grants ALCOSAN underground land access for a major sewer project.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200","City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.","Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call."
Council proposes eleven contracts with five vendors for on-call special events services.,Council schedules hearing on aging public safety vehicles.
"Council schedules special meeting to address EMS, fire, and police fleet issues","City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council holds public hearing on bill to reduce minimum lot sizes for residential development.
Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,Council proposes eleven contracts with five vendors for on-call special events services.
Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council holds resolution to sell city-owned property on Itin Street for $3,755.","Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Council holds proposed sale of Itin Street property for one week.,Council proposes eleven contracts with five vendors for on-call special events services.
City Council holds resolution for sale of 23rd Ward property for one week,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.","Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks."
Council proposes eleven contracts with five vendors for on-call special events services.,"$33,292 transfer for council staff tuition reimbursement is held for six weeks."
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually","City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.","Council approves $40,000 contract with law firm for immigration legal services."
"City approves $40,000 contract for immigration legal services.",Council proposes eleven contracts with five vendors for on-call special events services.
"Council approves $40,000 contract for immigration legal services with Fragomen firm","City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.
Council proposes eleven contracts with five vendors for on-call special events services.,Legislation to increase paid sick days for workers advances to a public hearing.
Council holds Bill 1736 on paid sick leave accrual rates for public hearing,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Council proposes eleven contracts with five vendors for on-call special events services.,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.
Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.
Council proposes eleven contracts with five vendors for on-call special events services.,Six new bus shelters will be built in Hazelwood at no cost to the city.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Council proposes eleven contracts with five vendors for on-call special events services.,Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.
The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,Council proposes eleven contracts with five vendors for on-call special events services.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street
Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,Council authorizes temporary construction easements on city property for Smithfield Street repair project.
Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.
Proposed ordinance would allow residents to create native plant gardens.,City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council introduces ordinance allowing residents to plant and maintain managed natural landscapes
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.
City seeks temporary construction easements for the Smithfield Street repair project.,Council designates Donny's Place historic over owner and commission objections.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.
City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost
Council cancels sale of 136 Bodkin Street property and orders refund of hand money.,Council authorizes temporary construction easements on city property for Smithfield Street repair project.
City seeks temporary construction easements for the Smithfield Street repair project.,City Council rescinds sale of 136 Bodkin Street.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit
City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,Council authorizes temporary construction easements on city property for Smithfield Street repair project.
City seeks temporary construction easements for the Smithfield Street repair project.,"Council approves sale of 14 city-owned lots in Larimer for $26,677."
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms."
"$37,000 grant approved for old sexual assault case investigations.",City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,"Council approves $37,000 grant agreement to support police investigations and training"
"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds.",Council authorizes temporary construction easements on city property for Smithfield Street repair project.
City seeks temporary construction easements for the Smithfield Street repair project.,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation."
Council approves grant application and city funding for Emerald View Trail rehabilitation project,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City
Council passes ordinance clarifying rules for posting residential parking permit signs.,Council authorizes temporary construction easements on city property for Smithfield Street repair project.
New ordinance clarifies which streets and at what times residential parking permits will be enforced.,City seeks temporary construction easements for the Smithfield Street repair project.
Council approves clearer rules for residential parking permit signage,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Council expands residential permit parking program to more South Side Flats streets.
More streets in the South Side Flats added to residential permit parking zone.,City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council approves expansion of Residential Permit Parking Area KK in South Side Flats
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.
City seeks temporary construction easements for the Smithfield Street repair project.,Council approves sewer connection for new Walnut McKee Apartments.
City Council approves sewage plan revision for 296 McKee Place at no cost to the City,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City
Council authorizes temporary construction easements on city property for Smithfield Street repair project.,Council approves sewage plan revision for South Side townhome development at no cost to the City.
City seeks temporary construction easements for the Smithfield Street repair project.,Council approves sewer plan for new Josephine Street Townhomes.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City
"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.",Council authorizes temporary construction easements on city property for Smithfield Street repair project.
