Headline 1,Headline 2
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500."
City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500"
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.
City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.
Council approves a public hearing to gather resident ideas on the city's trash problem.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
Council approves public hearing to address citywide trash problem,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale."
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Council committee recommends canceling a property sale and refunding the buyer's hand money.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.
City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases
"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.
"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.",Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms",Council approves ordinance to increase paid sick leave accrual rates and maximum hours
"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.
"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds",Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,Council holds resolution on waste operations agreement with University of Pittsburgh for one week
Council committee approves changes to residential parking permit signage rules.,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,A city committee recommends allowing residential parking permit signs in some non-residential areas.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,Council approves ordinance clarifying residential parking permit signage rules
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council approves expansion of residential permit parking program in South Side Flats.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Council approves expanding the residential permit parking area in the South Side Flats.
Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.
Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council approves sewer plan for McKee Place apartment development after correcting zip code error.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,Council approves amended sewage plan revision for 296 McKee Place with corrected zip code
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council approves sewage plan revision for South Side townhome development at no cost to the city.
Council recommends a sewage plan update for a new townhome development on the South Side.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
Council approves ordinance to increase paid sick leave accrual rates and maximum hours,Council approves sewage plan revision for 215 South 21st Street development at no cost to city
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties."
"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.",Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment",Council approves ordinance to increase paid sick leave accrual rates and maximum hours
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.","Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.","City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription","Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees."
"City to pay $72,500 for overdue 811 utility call debts.","Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts","Council approves reduced $450,000 grant for Penn Avenue lighting project"
Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,"Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.","City Council approves the sale of a URA-owned property on Island Avenue for $3,600."
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.","Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.
"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500","Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,"Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.
Council approves a public hearing to gather resident ideas on the city's trash problem.,"Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves public hearing to address citywide trash problem
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",Council committee recommends canceling a property sale and refunding the buyer's hand money.
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,"Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases,"Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.","City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims."
"Council approves reduced $450,000 grant for Penn Avenue lighting project","Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms"
"Council approves city's application for $250,000 state grant to fix Emerald View Trail.","Council approves reduced $450,000 state grant for Penn Avenue lighting project."
A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.,"Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"Council approves reduced $450,000 grant for Penn Avenue lighting project","Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds"
Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,"Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.
Council holds resolution on waste operations agreement with University of Pittsburgh for one week,"Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council committee approves changes to residential parking permit signage rules.
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",A city committee recommends allowing residential parking permit signs in some non-residential areas.
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves ordinance clarifying residential parking permit signage rules
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council approves expansion of residential permit parking program in South Side Flats.
Council approves expanding the residential permit parking area in the South Side Flats.,"Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats
Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,"Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.
Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,"Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council approves sewer plan for McKee Place apartment development after correcting zip code error.
Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.,"Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council approves amended sewage plan revision for 296 McKee Place with corrected zip code
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council approves sewage plan revision for South Side townhome development at no cost to the city.
Council recommends a sewage plan update for a new townhome development on the South Side.,"Council accepts a $450,000 state grant for the Penn Avenue lighting project."
Council approves sewage plan revision for 215 South 21st Street development at no cost to city,"Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.","Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.","Council accepts a $450,000 state grant for the Penn Avenue lighting project."
"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment","Council approves reduced $450,000 grant for Penn Avenue lighting project"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.","City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.","Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
"City to pay $72,500 for overdue 811 utility call debts.","Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290."
Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600."
"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.","Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.","Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.
Council approves a public hearing to gather resident ideas on the city's trash problem.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
Council approves public hearing to address citywide trash problem,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.","Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
Council committee recommends canceling a property sale and refunding the buyer's hand money.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.","City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims."
"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves city's application for $250,000 state grant to fix Emerald View Trail."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds"
Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council holds resolution on waste operations agreement with University of Pittsburgh for one week
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council committee approves changes to residential parking permit signage rules.
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",A city committee recommends allowing residential parking permit signs in some non-residential areas.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council approves ordinance clarifying residential parking permit signage rules
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves expansion of residential permit parking program in South Side Flats.
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",Council approves expanding the residential permit parking area in the South Side Flats.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council holds resolution to fund non-congregate shelter services with Auberle for five weeks
Council approves sewer plan for McKee Place apartment development after correcting zip code error.,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.
Council approves amended sewage plan revision for 296 McKee Place with corrected zip code,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council approves sewage plan revision for South Side townhome development at no cost to the city.
Council recommends a sewage plan update for a new townhome development on the South Side.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council approves sewage plan revision for 215 South 21st Street development at no cost to city
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.","City to grant ALCOSAN easements for underground tunnels in exchange for $8,200."
"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees."
"City to pay $72,500 for overdue 811 utility call debts.","City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription","City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts"
Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290."
Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600."
"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.","City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.
"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500","Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
Council approves a public hearing to gather resident ideas on the city's trash problem.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
Council approves public hearing to address citywide trash problem,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale."
Council committee recommends canceling a property sale and refunding the buyer's hand money.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room."
"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.","City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms","Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","Council approves city's application for $250,000 state grant to fix Emerald View Trail."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.
"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds","Council approves $52,962 payment for Pennsylvania Municipal League subscription"
Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council holds resolution on waste operations agreement with University of Pittsburgh for one week
Council committee approves changes to residential parking permit signage rules.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",A city committee recommends allowing residential parking permit signs in some non-residential areas.
Council approves ordinance clarifying residential parking permit signage rules,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",Council approves expansion of residential permit parking program in South Side Flats.
Council approves expanding the residential permit parking area in the South Side Flats.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.
Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
Council approves sewer plan for McKee Place apartment development after correcting zip code error.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council approves amended sewage plan revision for 296 McKee Place with corrected zip code
"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",Council approves sewage plan revision for South Side townhome development at no cost to the city.
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",Council recommends a sewage plan update for a new townhome development on the South Side.
Council approves sewage plan revision for 215 South 21st Street development at no cost to city,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.","Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
