,sentence,classification
344,"We also get requests for crossing guards, But we go out.",i
345,"We go out and evaluate the intersection, Things like the amount of students that intersection serves, safety issues, pluses and minuses to safety.",i
346,"Is it a stop sign, Is it an intersection where there's a light signal Or is it just a crosswalk?",i
347,I'll give you some examples: South Dallas and Edgerton.,i
348,We only have a crosswalk to get kids across that street And those people speed on that street Speed.,i
349,So that would be an intersection that you know we look at.,i
350,"There's some other ones that we're working with DOME, where we definitely need to have somebody up there And as soon as we can either reallocate some resources- meaning some of our people- or bring new people on, there's intersections that are on the list- that will be getting a crossing guard As soon as we get people in.",i
351,"So it's a process, It is, And sometimes it takes longer than what some people would like.",i
352,"You know they think they can snap your fingers and you get a crossing guard, But it's a little bit more extensive than that.",i
353,But the safety of the children in this city is most important And part of it is also teaching young people and adults.,i
354,"This is going to sound so just basic, but crossing the street I'm usually out all over the city, whether it's special events or just engaging with people, And the amount of people that I see that cross against a light while they're holding their child's hand is unacceptable.",i
355,"And it's interesting because I have these discussions with the people in this building, because I am here a lot down here at the city county building, Yeah, And I'm at 4th and Grant And I'm probably the only person that stands there and waits to get the walk sign, And I do that on purpose, because you never know who's watching you.",i
356,"There could be people on a school bus, and it doesn't have to be downtown, It could be anywhere, Penn Avenue.",i
357,"There's people, there's young people on school buses that are always watching everything we do.",i
358,So it's time for for everybody in the city: adults.,i
359,"It starts with adults- To moms, To kids- And I have a lot of kids And it's really a great way to model the behavior that we want our children to emulate in when it comes to safety in crossing the streets.",i
360,"So- And I know that there was some chatter And I remember seeing a news report, something, and I don't know if this is but a ticketing system, like if you're going around the bus, like if the bus has the stop sign.",i
361,"Oh, yes, Can you talk a little bit about that?",i
362,"Sure, Also, could you identify yourself for the record, McManus, I'm the supervisor for the city of Pittsburgh crossing guards.",i
363,"Pittsburgh Public Schools implemented a program where they have cameras on the buses, where the camera is on the stop arm that comes out, and they implemented it about a year and a half ago and people were getting tickets.",i
364,they told everybody that this was going to happen and folks were getting tickets and they were all upset and there was something about the processing of it and that was changed.,i
365,"so I believe Penn- Penn dot, I think- is who is taking care of the tickets, and Pittsburgh Public Schools just put out about a month ago, they issued nine thousand, nine thousand tickets just for going through bus lights.",i
366,how much is that ticket do we know?,i
367,"I believe it's 300, 300, mm-hmm, but there's no points on the license though.",i
368,but they had people who went in disputed it and I believe maybe 100 tickets were valid and they're paying.,i
369,"So it really is a nice program where people think that they don't go around the bus And my people call me when they have cars going around the buses and then I send the information over to Pittsburgh Public Schools with a time, a location and the bus number, and that way it makes it easier for Pittsburgh Public to pull it up on their camera.",i
370,"So I probably weekly, I have guards who call and say there's people going through bus lights and intersections, which is also unacceptable.",i
371,"Yeah, thank you.",i
372,"So for the red light cameras, do we have locations identified or does it change?",i
373,Can they move around?,i
374,How does that just?,i
375,how's that gonna work?,i
376,"So, briefly, for our planned automated red light enforcement program, we're looking for a fixed unit system, So the locations are not gonna change.",i
377,"There's a lot of reasons for that, but you know, it's the cost, it's that they have to be properly signed, it's that they have to be properly advertised.",i
378,"There's a 60 or 90 day warning period at each new location where we can't actually assess a citation, So they'll stay in one location.",i
379,And the second question is: have we identified locations?,i
380,The answer to that is: we've identified locations in collaboration with PennDOT: potential locations based on crash factors and other requirements of the ARLI program.,i
381,"We will wait to finalize those locations, though, until we have a vendor in place, because there's certain speed studies that we'll wanna have, or not speed studies, certain traffic studies that we'll wanna have complete at those locations before we actually install cameras.",i
382,"So, all that to say, we have an idea, but we do not have the locations identified yet.",i
383,"Thank you, Sure, Councilman, you have a follow-up.",i
384,"Thank you, Madam Chair.",i
385,I was gonna just follow up with one of our the school and the school bus conversation for a minute.,i
386,"I think it was in the Complete Streets Post agenda, which might've been a year ago, might've been two years ago, I can't even remember now- when we were talking a little bit about the metrics and how we prioritize that, I asked if we were not only prioritizing where our physical schools are for kids who are walking to school.",i
387,but most of our kids don't actually walk to school and they take the buses right.,i
388,especially the younger kids are taking the PPS buses.,i
389,"and even though it changes from year to year- because the location of the PPS bus stops change and which schools are picked up when and how many kids are going to a particular corner changes, I asked- I think, that we request that information from PPS and I think that's gotten a lot better.",i
390,"It used to be that it was very hard to get- And then look at those as a higher ranking, because the safety of kids walking to their school bus stop should also be, I think, high in the priority area.",i
391,"There are certainly school bus stops that have something like two and a half hours of pickups in the morning and two and a half hours of drop-offs in the afternoon, and one of these- years ago it may have changed- was Heron and Melwood and Poets Hill because it was 16 different schools and it was a lot of kids walking to school and it was a lot of school buses going to that corner every morning and every afternoon And it was unsafe, especially when we were having Bigelow Boulevard construction and people were using the alternate detour, unofficial detour route and driving at high speeds on Melwood and on Heron And so, similarly, I can think of school bus stops in my districts where we've had to push over the years to get even striping for crosswalks, Like there weren't even crosswalks and there was two hours of little kids And you have to walk your little kids to the school bus because it's not safe to even go to the bus stop.",i
392,"So if we haven't gotten to that level, I think that needs to be added for the Vision Zero Task Force right to look at where those school bus stops are and what are the routes to bus stops.",i
393,"Thank you, Yeah, thanks, And so yeah, with regard to the sort of education engagement.",i
394,so it sounds like we're working with Propel.,i
395,Are we working with PPS as well?,i
396,Is that like getting inside the classroom?,i
397,"Yeah, so our Safe Routes to School Coordinator maintains relationships with PPS as well as some of the magnet and other charter schools And, yeah, it's primarily around getting those schools to participate in programs such as Safe Routes to School, Safety Week, Walk and Roll to School Week, Our Safe Routes to School Coordinator.",i
398,I think has a great has built great relationships to public safety.,i
399,Donna is nodding her head To our Traffic Division.,i
400,"she really she serves a role whose entire purpose is to make sure that students can get safely to school, regardless of how they are traveling, And so as part of that role, I think she almost provides a sort of you know liaison sort of service to try to solve with the schools the types of issues that they bring to us.",i
401,"Agree, absolutely, we can still be doing more.",i
402,"I think our students in Pittsburgh are facing a tremendous uphill battle when it comes to transportation, especially in light of some of the changes that could happen to PRT.",i
403,"This was a challenge that we were hearing from our schools even before PRT announced these potential cuts is that there was already, you know, concerns about students having to find the bus, wait for the bus, catch the bus, in some cases, transfer.",i
404,"So we've already been working to try to add more sort of multi-modal training how to use the bus for students, because they're being put in this position of having PPS buses.",i
405,"Yeah, the PPS buses, yeah, PPS transportation changes.",i
406,"So, yes, all that to say, children are our most vulnerable users And I think- to draw back to the point earlier about how important behavior and sort of consciousness is, we're also, through our Safe Routes to School work, training the next generation of drivers, cyclists, everything.",i
407,"So the more I think that we treat those children with the compassion and you know, the level of safety which they absolutely deserve and foster sort of respect for them and each other.",i
408,I hope that you know we start to see that pay off as they get older And we do hope to expand our Safe Routes to School program to also be working within some of the higher level grades.,i
409,So I think at this point we've only gone up to eighth grade.,i
410,We aspire to get into high school classrooms to also start to talk to students about who might be approaching driving age.,i
411,"Great, great, I always.",i
412,I think like fifth and sixth graders is a good.,i
413,"That's like the sweet spot where they learn something and then they tell their parents what they're doing wrong And they're also looking- That is my experience- And they're also looking for independence And I think movement and mobility is a form of independence And, you know, in a city where you might have to take the bus to school or find your own way to after school program, you know, I hope that we're making transit cycling, you know, those options for non-drivers, especially because of age, comfortable, healthy and safe.",i
414,"Yeah, for sure, for sure.",i
415,"So, and then just quickly so, with the Community Traffic Calming Toolkit, and I understand that we're waiting on a grant.",i
416,"So I mean, is this: Are we kind of talking about creating like a sort of like a menu, Like you'd apply for an encroachment permit, and this would kind of be like the menu where it's like, if you do this, it should be quick.",i
417,Is that the idea?,i
418,"Yeah, we'd like to get to a point where there's a sort of menu of options and treatments where they might be accessible or acceptable, And then, of course, the internal process for how those requests would be submitted to the city for review.",i
419,"So, yes, Great, yeah, And I mean I think that would be so nice because they're so.",i
420,"I mean I've had even just little things, like folks who park up to the edge of the curb, right, And you can't see out, And it's just, And it's very frustrating for residents to feel like, well, I can't just put a flex post in there, And it's just they.",i
421,"It's hard to understand the amount of sort of time and engineering that it goes into, But if they could just do that quickly themselves, I think that would make things a lot easier.",i
422,So definitely looking forward to that.,i
423,I do have a question.,i
424,So I've noticed I see we have a parking authority here.,i
425,"We don't have the Bureau of Police, But I am curious about the enforcement.",i
426,"So Prior to Chief Raglan leaving, I know that he was very active in the Vision Zero team And I know that in Zone 4 with Commander Vanansky, we're doing a pilot to have like dedicated officers in a neighborhood and have that kind of move around.",i
427,"I'm curious if we have an update on that, And I would.",i
428,"also I would love to see numbers too, Like not only Not that I, I know we're trying to change behaviors, but I also want to know how many Yes sickets we're giving out.",i
429,Myself and Commander Ripple have been on the Vision Zero's subcommittee for enforcement.,i
430,"One of the things that we are bringing about is we looked at some data from our data analysts in reference to pedestrian strikes and things of that nature- serious injuries- And with that we took the, The pallet will come for the, The zone that had the most pedestrian strikes, which was Zone 2.",i
431,So we in the future we'll roll that out quarterly meeting to see what we can do to stop the pedestrian strikes.,i
432,"We will go over each report from the police department And through those reports we'll see We'll all have input on how we can do better enforcement in those areas and what, What things, What measures we can put in place to stop those strikes.",i
433,"Yeah, because I mean I really would like.",i
434,"I mean I feel like as a driver in Pittsburgh you kind of feel like anything, Like you're never going to get a ticket right, Like it would just be almost unheard- I mean occasionally right, But it's almost unheard of- that you see a police car, you know, and I think that if folks kind of knew that- you never know, if that were the vibe, then people would stop at the stop sign or, like you know, slow down a little bit.",i
435,"So that would be great to see sort of all of our officers trained Like if you're out and you're not on a call, you're actually actively, you know out, you know whether it's at a stop sign or whether it's a presence or you're actually doing some kind of enforcement.",i
436,That would be great.,i
437,"Yeah, and Yeah, the Fatal Crash Response Team.",i
438,So these are the examples.,i
439,I think that that was very helpful to see those.,i
440,"I do have one, so this is specific to my district.",i
441,So there was a fatal crash on St Patrick's Day.,i
442,"It was a head-on collision, It was a drunk-driving incident And the Fatal Crash Response Team came out to look And, by the way, I think that that I can't remember if it was Commander Venanski, but one of He described how going out together, like with Domi, was so helpful, because normally it's like, okay, you just go out, okay, who hit who, whatever, write the report, But to actually have, like the traffic engineer being like, oh my gosh, look at this.",i
443,"Like you know, this is why I went, you know, and figuring out why the crash happened, but for the Beachwood and Loretta.",i
444,so one of the things that came out of that Fatal Crash Response visit was to move a bus stop up to a signaled intersection and eliminate a dangerous crosswalk.,i
445,"And I just wanted to give you all the chance to clarify, because I know on Facebook some people are like: what?",i
446,"That's not, That has nothing to do with And correct.",i
447,"it doesn't have anything to do with the crash at hand, but I wanted to let you all explain how that came about.",i
448,"Absolutely Before getting into the nitty-gritty detail, I just want to give a big shout-out to the people who actually helped us to go through all those crashes and it was immensely helpful for us along the way.",i
449,A little bit background: how does Fatal Crash Response work?,i
450,"So we do mostly not only reactive, we also try to be proactive whenever we look for those response.",i
451,"And the other thing is we try to do low-cost, quick-build project that can be designed in-house and can build in-house.",i
452,So you know we have a lot of people who are interested in this.,i
453,"For that particular matter, Councilwoman, the crash happened somewhere around 8.",i
454,30- 9 o'clock at night.,i
455,The individual was under the influence.,i
456,They basically crossed the central lane and hit on the other side and that's where the fatality happened.,i
457,"So between 2019 and 2023, we have over 4,000 crash due to DUI.",i
458,One in every five crash that happened was due to DUI.,i
459,So that's the number of fatalities that happened in our city regarding DUI And one in every five fatality that happened in our city regarding DUI.,i
460,"So that particular incident, when we went there and Detective Wolf helped us to walk us through how that crash happened.",i
461,it doesn't look like roadway factor actually played any major role to have that crash.,i
462,"So from the reactive side we have a local viewpoint from the city side how we can stop alcohol abuse, DUI, You know.",i
463,so the toolkit that we have with our hand we don't necessarily have in the toolkit to address.,i
464,the issue that we have is alcohol abuse.,i
465,The individual didn't mention they have any issue in their roadway condition.,i
466,The individual didn't mention that the central line wasn't clear enough.,i
467,There wasn't enough lighting in there.,i
468,So the individual didn't necessarily mention that roadway actually played any role that can prevent that crash to happen.,i
469,Now there are some other toolkit that we could have used for a lane departure type of crash.,i
470,"but the problem is that corridor has close to 29,000 traffic and close to 8% truck traffic.",i
471,"The thing that you can do, this type of lane departure from the central line, is whether you can harden the central line.",i
472,It can be rumble strip but you can do that as a residential corridor.,i
473,"Three o'clock in the morning, a free trailer hitting that rumble strip, it ain't gonna be a fun experience.",i
474,"We could have tried to put a flex post in there for our 29,000 traffic in the middle of a two-feet, basically, space that we have.",i
475,That thing doesn't last either.,i
476,"So, as you can see, when you are thinking about the process of the reactive side, there isn't anything actually we could have done that could have prevented that crash.",i
477,So that brings you to the next point is how you can proactive.,i
478,"So that's when we see that we have that crosswalk, that really sad crosswalk between Two Signal 29,000 traffic, four-lane roadway, really fast, There is no way you can make that crossing safer.",i
479,We also looked into the PRT data.,i
480,We wanted to make sure that we are not taking out any crossing which is heavily used.,i
481,The ridership is 0.,i
482,"7, not even a whole human being- per daily.",i
483,It's like a three-day.,i
484,"maybe one or two people cross, You do the average.",i
485,that's how it ended up being 0.,i
486,7.,i
487,So that crossing isn't also being heavily utilized to begin with.,i
488,"So the only low-cost response we had on that point to make sure that no one is using that corridor, because we are seeing that's a safety concern right there that we can solve with the toolkit that we have In a quick response time that we have, And that is the reason we took out that crossing and put it on the Signal S section that we have.",i
489,That doesn't mean that that crossing isn't needed.,i
490,"But the problem is at this moment, the resource that we have, we won't be able to deploy anything that actually work and improve that scenario.",i
491,But the good thing is the I-376 project is coming in there- squirrel interchange- and there will be some changes coming in the upstream of Beechwood Boulevard.,i
492,"So when that project gets in maybe it will give us some more opportunity to better understand how that corridor work, whether we can do something more expensive like a road type of scenario instead of four making two lanes.",i
493,"So when we get into those timeline, yes, that will give us more resource to work with and figure out how we can make that crossing safer.",i
494,But at this moment the only proactive thing we can do to make sure that we don't have to go there and address any of this issue that sad incidents- is take out that crosswalk.,i
495,So that's how we decided to make up that crosswalk out.,i
496,"It might feel like you hurt in your leg and you put a bandaid in your forehead, But the thing is, since the whole process is proactive and reactive, that's how that decision has been made.",i
497,"Yeah, no, I appreciate that And it's funny.",i
498,"I had a funny conversation with a constituent who's a very strong bike ped advocate And they were telling me how they use that crosswalk and they stare down the cars and they're very aggressive And I'm like I get it, But we don't want someone doing that necessarily when they're with a kid or have a kid, you know.",i
499,"So, right, So it was just: we identified dangerous pedestrian infrastructure and that's why Staring probably can work in your neighborhood street, But when your corridor has 29,000 traffic, yeah, it gets really difficult.",i
500,"Yeah, yeah, for sure, Thank you, Yeah, so I guess I guess just one thing I wanted to let you all do since you is to just go down for each of you in your various departments.",i
501,you know what.,i
502,"what for you feels so far, I mean- and this is just the first year, right?",i
503,So what feels so far like the best outcome of being involved in this Vision Zero project?,i
504,I can start.,i
505,"I think the fatal crash response team has been really impactful, Just having the opportunity to be involved in this project, Just having better communication across departments, And this is something that's not established in a lot of cities in the country.",i
506,So I think it's something innovative that we're doing And I'm hoping that it.,i
507,"I think it's already paying off, but I hope it continues to pay off.",i
508,"For me, it has been the collaboration that we've had within the budget engagement subcommittee, And I think that's for a few reasons.",i
509,"One is, while I have said that we cannot design or engineer our way to complete roadway safety, we know that that absolutely is a part of the solution And that, you know, while our traffic calming program, our neighborhood traffic calming program- is a very popular program, we know that there are higher ticket items that we could be funding.",i
510,"So something that stuck with me from our Complete Streets Advisory Group report when we were in front of council buildings about a year ago was, where we install upgraded signal infrastructure, we reduce crashes by 33%.",i
511,That tells me that we need to be upgrading more of our outdated traffic signals and we need money to be able to do that.,i
512,"And so being able to work with our colleagues in the Office of Management and Budget, our grants department, to talk about how we do that better, faster, quicker, scaling up- you know, having the dollars and resources to do it is absolutely part of the process And that's been a game changer, I think, for just a few years, And now we need to have people who are giving us the answers so we are able to be more flexible about how we're going to do this.",i
513,And I think one issue that has been important in the last year or so for Domi in year one is that those conversations have happened and we'll be delivering more projects as a result.,i
514,I will bring two things here.,i
515,"The first thing is the collaboration that we are having now with our state partner, our MPO, our public safety friends, our parking authority.",i
516,we never had those connections before.,i
517,Division Zero Movement.,i
518,It was a.,i
519,we had those connections but not the level that we are having.,i
520,huge help for us.,i
521,and the other thing is the way we utilize this momentum and the administration helped us to recruit more in-house staff.,i
522,that was a big help for us.,i
523,the amount of project that you are seeing that city is delivering.,i
524,"a major reason is our in-house capacity any given time whenever we are doing those small skill work- five thousand to ten thousand dollar- if we lash it out to outside consultant that we are doing in-house, each of the planning work that we are doing, whether it's a Stanton Avenue work that we completed, we are gonna have more projects coming in this year in the district three, we are doing all those in-house work that are saving around fifty to sixty thousand dollar on average.",i
525,"we do a lot of signal work in-house that many community have to hire outside consultant and the amount of money we use just for construction, they use this for design alone.",i
526,"so using this momentum and hiring those stuff in and the way we are doing all those project very efficient and cheap way, I feel like is a huge win for the vision zero program and I do feel like it will.",i
527,"we will see a lot more benefit coming in in the coming years because of this in-house staff capacity we were able to build up with the movement of vision zero, and I would double down on what Panini said, that with the collaboration aspect of it, just working, working with subject matter experts on the various topics that we need to address- makes the job that much more easier.",i
528,for a good example was today.,i
529,we were in a meeting and Donna was there and she brought up in the meeting how she wanted to address certain aspects of crossing.,i
530,"I was like, oh, I know the perfect meeting for you and I told her about today's meeting and then I also told her about another meeting that we'll have to just to talk about crossing, and so it makes it that much more easier just to have the subject matter experts in the room.",i
531,"and then the documentation going through, the memorandum and the documentation that Stephanie's put together for a group- it- looking at the numbers, it makes it all worth it.",i
532,"it shows us what we've been doing for the last year and how how much work we have, how much progress we have made and how much progress we will make.",i
533,so that makes it much more rewarding.,i
534,"I feel like everybody's gonna say the same thing, but I think what I would say is it's, it's, it is all of the collaboration and I think the collaboration as a model really for other places where we have to try to build the same kinds of teams to solve the problem.",i
535,"so I mean, you know concretely, when people start, or certain leaders begin, they start thingsaking and as Well I- you're right, the calm is ever don't miss the on revenues and how much progress we have made and how much progress we have made.",i
536,so that makes it much more Qu.,i
537,"start to work like this with PennDOT, with one another, then we can make a real plan for that.",i
538,you know when you're talking about the bus stop and we move it to the signalized intersection.,i
539,"it's not just that we do that there, it's that we are tying that to the changes that are coming at the Squirrel Hill interchange right, So that we are how to put this.",i
540,"we're doing the kind of long range planning which is not about having a vision document and hoping, but because we all know each other's brains well enough, now we can sketch those plans in reality, we can plan the money for them, we can do so much more with the resources that we have because we've collaborated, And for that reason we treat this group a little bit like a look and see for other groups.",i
541,come and watch and see how these folks are doing it.,i
542,"figure out how to dig in in your own areas and we go a lot farther, a lot faster and get our heads like not so much in the clouds in terms of long range planning, but actually the kind of nitty gritty of it.",i
543,"Are you gonna- I mean, I'm not sure if you're gonna, I'm not sure if you're gonna- talk about neighborhood guards or not.",i
544,You can.,i
545,"So I just it, just you know, in the area of you know- bring people in and talk to them about what are your obstacles to doing this right with our crossing guards.",i
546,"you know we have more slots for crossing guards than we have crossing guards And when we talk to people, why are you not crossing guard?",i
547,"You know the way that the seniority system worked in the contract is everybody with seniority picks first and then, if you don't have seniority, you go to the place.",i
548,nobody else picked.,i
549,but maybe you are a neighbor who would be perfectly happy to be at an intersection.,i
550,"I live in- I don't know wherever I live- Lawrenceville and I would cross there, but I'm not getting in a car.",i
551,I don't have a car to go and be at the empty spot in Carrick.,i
552,And so what Donna and her guards did was to bargain into the contract a different kind of guard which is called a neighborhood guard.,i
553,So city guards who wanna do all of that- and they go and they take their- can do that.,i
554,"But if there is a place where Donna has evaluated and said we could use a guard here and no city guard takes it, then it's possible for her to go and recruit right out of the neighborhood.",i
555,"or you can recruit out of your neighborhood or you can recruit out of your neighborhood and say, hey, we've got a spot now we've got budget for it, and if there's somebody who would like to work the early hours and cross the kids and then come back later and work the hours, So there, look, see.",i
556,So and I just wanna it's that you know to just really dig in with people and talk to them about how do we solve the problem.,i
557,"and solve it has been, like you know, super rewarding and everyone can learn from it.",i
558,"Can I just say congratulations, Because that has been a complaint for 10 years.",i
559,"Thank you, That is amazing.",i
560,That is amazing amazing work.,i
561,That has been an unfixable problem for a decade That people they've been empty seats.,i
562,"I remember we, you know, we were trying to get across the guard 10 years ago on Butler Street at Arsenal, and that was one of the problems: Like there hadn't been a new hire of crossing guards forever because of this unsolvable problem that you've just solved.",i
563,"And so we were lucky to get like the first hire ever and to get a crossing guard there, because, again, you know, that's a K through five.",i
564,"They're, you know, five year olds trying to cross a Penn dot street, right, It's very dangerous.",i
565,"So, yeah, it's a very it's a horrible intersection, So it's a that is magnificent.",i
566,"I think we all should do like advertising campaigns as council members, that you can apply to be a crossing guard and stay in your neighborhood, because that has been the obstacle for a decade, maybe longer, That's a decade as long as I've been aware of it.",i
567,"It has, Yes, It has, it really has.",i
568,"The other thing, though, that precipitated this neighborhood guard is we, about two years ago, eliminated the requirement of a driver's license in a car And with that happening, that eliminated a lot of people who would want this job.",i
569,And I do have people who use PRT.,i
570,I have guards that are up in Northview Heights who are over in Squirrel Hill.,i
571,That's where they bid on their spot And they take PRT every day back and forth.,i
572,"So that's, it's moving forward, trying to eliminate the obstacles of why people don't want this job.",i
573,"I mean, it's the best job ever, And for somebody who's retired it's really the best job ever because it gets you up in the morning, It gets you moving.",i
574,You go do your corner for maybe two.,i
575,some of my corners are three hours.,i
576,Some of my corners have more than probably 20 buses.,i
577,"Up on the North side there's some really active corners, So it just depends.",i
578,"But then you have the middle of the day to schedule your doctor's appointments or run your errands, And then you go back, Get the kids off the bus, Say hello And you go home.",i
579,"No paperwork, No hassles And no supervisor.",i
580,that's breathing down your neck every day because you're on the corner by yourself.,i
581,So I'm just checking to make sure the camera was on you.,i
582,I think we could just cut there and just put that on.,i
583,We've got our television commercial right there.,i
584,We're going to put it up on social media.,i
585,It is the best job It is.,i
586,I appreciate it.,i
587,It is.,i
588,I know My staff is going to be applying now.,i
589,"I just wanted to say that it was great, being a part of this committee, for the parking authority to be at the table, have a seat at the table just to see what other city entities are doing and working with everybody.",i
590,It's been great And I'm looking forward to it in the future.,i
591,"So actually, just quickly, because we haven't really heard.",i
592,So are there?,i
593,"because I know that it's been a challenge with enforcing people parking on sidewalks, sort of at non-metered spots.",i
594,Do you have any?,i
595,"No, No, No, I don't.",i
596,I don't Any comments on that or forward-looking on how we might be able to do a little bit more of that type of enforcement through the parking authority.,i
597,"Hopefully with the advancements in automated enforcement as that comes with the new systems that we may be getting in the future, hopefully that we can work on those different types of parking situations as that comes to light.",i
598,"Great, Great.",i
599,So anyone else have any last questions?,i
600,"No, Any questions, or Oh, go ahead, Oh, sorry, OK, So what?",i
601,"everybody talked about collaboration and that's incredible that these folks all came together, But nobody talked about each person's expertise sitting around this table in Vision Zero, And really and truly that's what I think makes this group a group that can make changes, And I think that's what I think makes this group a group that can make changes.",i
602,And so I think it's.,i
603,There's people around the table right here.,i
604,"Obviously, please let us get past anybody harming the viewers and fortune lumps.",i
605,"From what we've seen, everyone is exhale this week applause.",i
606,I just had two just quick questions.,i
607,The first one primarily for the public: Can you share some examples of what the community-led traffic calming interventions might look like?,i
608,"Yeah, so some of the things I think that you can expect to look forward to will be things like: what type of planter can I place?",i
609,How close.,i
610,does it need to be from the intersection?,i
611,"Some of the other things we've talked about, Stephanie, if you can help me: Yeah, I think we've talked about like physically painting Things like that.",i
612,"If we have cones we can use or sandwich boards we can use, Again, bringing that back Just like very quick things that we can do that aren't going to require them to like bolt in the flex post.",i
613,"Yeah, no construction, no cutting sawing, Yeah, everything sort of surface placement- Awesome.",i
614,and in my last question was around the automated speed enforcement.,i
615,Is there any current legislation in Harrisburg right now and what like steps are being taken?,i
616,"Because it's something that I'm really interested in and we actually, at our meeting this morning, talked about how there's a growing, you know, hunger to be more visible in Harrisburg as a body, And we're starting to put together our list of asks- and this would be on my list that I would, you know, share with the members- that we need to ask for, Obviously, more funding for public transportation as well.",i
617,"But is there a current status of where this is among your group and you know what would be the next steps and how can we, you know, kind of tap in to this effort as well and take this to Harrisburg, Because I think this is something because we know, you know we don't have.",i
618,"you know, 1300.",i
619,"you know police officers like we did, like in the 80s or 90s, like when, you know, when I was a kid, And you know we, you know there's only just so much.",i
620,"you know, physical Enforcement the human beings can do, but if we had automated speed enforcement I think that would go a long way to behavioral change.",i
621,"and someone knows that there's an invisible eye in the sky, so to speak.",i
622,"you know, watching them go 60 miles an hour down Butler Street, so to speak.",i
623,"Yeah, yeah, so I'm not quite sure if somebody else knows they can answer for me, but I can check if there's currently legislation.",i
624,"Last we had been involved, only Philadelphia got authorized.",i
625,I think that's a good question.,i
626,I think that's a good question.,i
627,I think that's a good question.,i
628,I think that's a good question.,i
629,I think that's a good question.,i
630,I think that's a good question.,i
631,And they only got authorized in that legislation and they only got authorized for five locations.,i
632,"So there's been some resistance in the state legislature to automated speed enforcement for various reasons, but we would appreciate collaboration there for sure.",i
633,"Thank you, Madam Chair.",i
634,Sure anyone else.,i
635,Thank you to all the panelists.,i
636,"No, Okay, great, Well, yeah, so just, you know, for, for the public, please slow down, Everyone driving, driving fast and not paying attention is costing us a lot of money.",i
637,"I know a lot of people say, well, you're spending money on these, you know traffic calming- Well, yeah, it's, it's important, I don't know.",i
638,"maybe we should start the 25 mile an hour challenge and put like a little sticker on your speedometer there right at 25, and, you know, get the feeling for what it feels like.",i
639,Thank you all so much.,i
640,I'm this is such a fantastic program and just all the work that you're doing around slowing folks down and keeping kids safe.,i
641,"it's something that's very dear to me and I know to, to other members here, and so so many, so many folks in the public, whether it's parents, whether it's transit riders, whether it's cyclists.",i
642,"right, we, really we.",i
643,"we want Pittsburgh to be a place that you, you know, that you feel comfortable and safe getting around, you know, without a car.",i
644,"So, thank you all very much.",i
645,"Thanks, Oh, I guess.",i
646,"yeah, yeah, yeah, deal, yeah thing because, hey, we'll see you next time.",i
647,"oh, the postg, ter, Thank you.",i
