,sentence,classification
351,The ordinance says.,i
352,this ordinance and the others that are planned will have unintended consequences.,i
353,"I may be too stubborn to move, but there are many city residents who are tired of dealing with various problems in Pittsburgh.",i
354,This might be the last straw to encourage them to move to a suburb that cares about its residents.,i
355,Is it your plan to downgrade the quality of life in our neighborhoods to.,i
356,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
357,Our next speaker is Neil Desai.,i
358,"Neil, are you online?",i
359,Does not look like it.,i
360,"Okay, we'll move on.",i
361,Our next speaker is Connor Dickey.,i
362,Connor Dickey.,i
363,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
364,I'm Connor Dickey.,i
365,I live on Eiten Street in the Springhill neighborhood.,i
366,My home is lined with row homes with no setbacks.,i
367,Each of these homes sits on a lot that is extra long in the back.,i
368,"If you look at a satellite view, the homes take up just half of the lot.",i
369,We also have a street out back that serves these backyards and some other homes on the other side.,i
370,The lots are zoned R1A high density.,i
371,"My home's lot is listed on the county website as 2,268- I'm just going to go ahead and read this- 66 square feet, which means that even under the new rules, 1,200 square feet for high density.",i
372,it's too small to be split into two lots.,i
373,The same is true for my neighbors up and down the street.,i
374,"If the limit was just a little bit lower, we could double the housing allowed on my street overnight.",i
375,I bring this up to highlight how arbitrary these minimums are and prevent new housing.,i
376,My street is on the number six bus line.,i
377,"My house is almost perfectly halfway between bus stops, meaning there's a stop just a few hundred feet in each direction.",i
378,"This is exactly the kind of place that we should be encouraging more residents to live car-free, climate-friendly lives in our city.",i
379,"More selfishly, I'm sick of yard work.",i
380,"I like my house, but I would happily turn this extra space over to new neighbors if I could.",i
381,We don't need a yard and we might consider downsizing and moving out if nothing changes.,i
382,Minimum lot sizes should not exist.,i
383,"As others have noted in the past, a lot of people don't have a lot of space.",i
384,They don't have a lot of space.,i
385,Lot size minimums were a deliberate flaw on homeownership that was used to prevent people from homeownership on the basis of class or race.,i
386,"For me, this is about freedom: Freedom to own a home of the size that you prefer, even if that's small.",i
387,Freedom from maintaining extra land you don't want or need.,i
388,"Minimum lot sizes run counter to our city's goal of a climate-friendly, vibrant, walkable city.",i
389,"We should let people who want to live in smaller, denser neighborhoods do that.",i
390,Unfortunately my neighborhood.,i
391,"this bill doesn't quite go far enough to unlock more housing, but still this legislation is a step in the right direction to removing unnecessary barriers to homeownership in our city.",i
392,"Thank you, members of council, Wilson, Charland and Warwick for sponsoring this legislation and moving it through the process.",i
393,I'm especially pleased to see this moving separately from the omnibus and I hope other non-controversial reforms in the omnibus can also be moved separately.,i
394,I urge council to pass this reform and to reduce lot size minimums further in the future.,i
395,"Thank you, Thank you.",i
396,Our next speaker is Marcia Bandes.,i
397,"Good afternoon, Yes, my name is Marcia Bandes.",i
398,"Good day all and good day, Councilwoman Erika Sprossberger.",i
399,"I'm here today to speak about the need to move forward with minimum lot sizes, sensible reduced parking restrictions to go along with those, and inclusionary zoning.",i
400,"In order for Pittsburgh to grow economically, our families, and with them our workforce, need to have good quality, truly affordable housing.",i
401,"With over 10,000 people forced out of the city due to rising housing costs and now due to cuts in public transit, they will no longer be able to get to jobs located in Pittsburgh.",i
402,"And, of course, as many of you follow the news.",i
403,with families moving out of Pittsburgh.,i
404,our schools are suffering also.,i
405,We will decay as a city without neighborhood schools and a deep and wide workforce skill set.,i
406,Changes to minimum lot sizes is one of the most important things that we need to do.,i
407,Since I started the program we got together in profit.,i
408,Pastor and she probably know that much more developers are doing to earn more living here.,i
409,Parking restrictions have been scary to the needy.,i
410,Just imagine those ounts in Pittsburgh.,i
411,all your advised ways of taking care of the food wereicias Every when youFree zoning program within Boston.,i
412,"it's a model where people selection at Fußball when a park i as easy access to schools, grocery stores, jobs and, in some cases, more regular public transportation on the basis of race or income.",i
413,"Though not the end, all minimum lot sizes and inclusionary zoning in all neighborhoods are two critical tools to help address this shortage and also provide an opportunity to move towards more integrated neighborhoods.",i
414,"These two affordable housing solutions will bring us two steps closer to being a more livable city, Thank you, Thank you.",i
415,Our next speaker is Chris Rossolo.,i
416,"Good afternoon, members of council.",i
417,"My name is Chris Rossolo, policy director at Pittsburgh Community Reinvestment Group and resident of the Spring Garden.",i
418,I'm the director of the Spring Garden neighborhood in the north side.,i
419,"PCRG is a non-profit, membership-based organization with members throughout the city of Pittsburgh.",i
420,Let me be clear: we support the intent behind reducing minimum lot sizes.,i
421,"It's a good policy on its own, one that can increase housing diversity and affordability by allowing for more compact, attainable homes in our city.",i
422,"But introducing this reform in isolation, outside the broader zoning amendment package that was positively recommended by the city planning commission in January after over 10 hours of public testimony, is a mistake.",i
423,The comprehensive zoning package was designed to work as a cohesive unit.,i
424,"Each piece, whether it's minimum lot size, parking reform or inclusionary zoning, complements the others.",i
425,Pulling one piece disrupts the balance and risks political fatigue or loss of momentum for the other necessary reforms we all are advocating for today.,i
426,"Neighborhood organizations, real estate developers, city government and other stakeholders have been working towards modernizing our outdated zoning code for years.",i
427,"The Pittsburgh housing needs assessment made it very clear we need bold, integrated action, not piecemeal fixes that leave the larger picture behind.",i
428,I urge council to reconsider moving this legislation forward.,i
429,"Let's stick to the original path, pass the housing needs assessment zoning amendments in full, as intended, and give our communities the comprehensive, forward-thinking policies they deserve, Thank you, Thank you.",i
430,Our next speaker is Candace Kane.,i
431,Good afternoon.,i
432,My name is Candace Kane and I live in Fineview.,i
433,I asked council not to move forward with the zoning amendment to reduce the minimum lot size throughout the city for two reasons.,i
434,"First, why are we carving out one zoning ordinance to be amended during a 6 million comprehensive plan?",i
435,"Second, if council is going to carve out an area for attention, I ask you to focus on regulating short-term rentals.",i
436,Fineview is in the middle of an Airbnb crisis.,i
437,"A week or so ago, police were called to two of the seven Airbnbs on Meadville Street.",i
438,"The late night noise, trash, transients coming and going and extra cars are depriving existing residents of their quality of life and destabilizing our neighborhood.",i
439,"We learned that one Airbnb is now renting out single locked bedrooms and is a rooming house with no oversight, Even though the city's rental registration ordinance has been challenged in court.",i
440,why wait to regulate Airbnbs?,i
441,Short-term rentals are a different industry than long-term rentals.,i
442,"The city could right now require Airbnbs to have a license or a permit, just as other local municipalities have done, and make rules.",i
443,"Neighbors can provide you with a location of Airbnbs, And short-term rentals with absentee owners do not belong in residential neighborhoods.",i
444,Pittsburgh could immediately gain at least 20 additional houses in Fineview.,i
445,And short-term rentals with absentee owners do not belong in residential neighborhoods.,i
446,Pittsburgh could immediately gain at least 20 additional houses in Fineview By barring absentee owner Airbnbs in residential districts.,i
447,"In addition, the planning department states that we should look to Houston, Texas, as a successful example of reducing minimum lot size.",i
448,But Pittsburgh cannot be compared to the largest city in Texas.,i
449,"Houston's lots were huge, 5,000 square feet, and led to sprawl.",i
450,"Plus, Houston allows its neighbors to opt out of the new, smaller minimum lot size and keep their larger lots.",i
451,No such opt-out provision is in Pittsburgh's ordinance.,i
452,"Blanket-style upzoning for higher density leads to gentrification in areas seeing investment speculation, such as Fineview.",i
453,Why not include an opt-out provision?,i
454,Most houses in Fineview are zoned high density.,i
455,"The lots are already small- 1,800 square feet, typically just 20 feet wide.",i
456,"Notably, another Texas city, Austin, reduced its minimum lot size from 5,750 square feet to 1,800 square feet, the same size as Pittsburgh's current high-density minimum lot size.",i
457,We do not need smaller lots in Pittsburgh's dense neighborhoods to have more affordable housing.,i
458,Trickle-down economics doesn't work.,i
459,"Instead, we need subsidies of all types and homeowner grants to help with maintenance.",i
460,Thank you.,i
461,Thank you.,i
462,Our next speaker is Mallory Branson.,i
463,Thank you.,i
464,"Hello, my name is Mallory.",i
465,I live in Upper Lawrenceville on Carnegie Street.,i
466,I don't support minimum lot size being separated from the entire zoning package legislation.,i
467,Picking and choosing what bits of the package you want is playing politics and picking winners at the expense of everyone else.,i
468,I also want a smaller minimum lot size and I want the costs to lessen the costs and burden of developing housing in Pittsburgh.,i
469,I want this council to pass legislation that puts city zoning code back in line with the policy that allowed this city to be built in the first place.,i
470,I'm not a city planning expert and I don't need the council to be planning and building experts either.,i
471,You weren't elected because you know everything.,i
472,Part of being a good leader is relying on experts.,i
473,This zoning package is comprehensive.,i
474,"This package will help us build a healthy city for everyone, Not just benefiting builders short-term profit margins.",i
475,"If you break up the zoning package, you will undermine the benefits that it could have for the future of the city.",i
476,Private developers are not going to think about the long term.,i
477,They will not consider how to develop the city in a way that keeps it affordable and nice to live in.,i
478,"Thinking ahead, thinking beyond profit and short-term gains, is the responsibility of our government officials.",i
479,"If you break apart the zoning package and pick and choose just the parts you like, you are working against the housing needs assessment, you're discarding the recommendation of planning experts and you're wasting my tax dollars by ignoring the research that informed that legislation.",i
480,Pittsburgh is an amazing city to live in because of its walkability and density.,i
481,"Pittsburgh was built before the car, and you can feel it when you walk around.",i
482,"Subsequent policies that have prioritized cars above people have led to parts of the city being demolished to make more and more room for cars, Less space for housing and less space for people.",i
483,"I'm not a city planning expert, but I'm a city planning expert.",i
484,"I want you to remove minimum lot sizes, remove mandatory parking minimums, allow inclusionary zoning citywide so that affordable housing can be found in more neighborhoods, and I need you to stop delaying on passing zoning reform.",i
485,"Please pass the entire zoning package, Thank you.",i
486,Our next speaker is Jack Billings.,i
487,My name is Jack Billings.,i
488,I live in Squirrel Hill in Councilperson Erika Strasburger's district.,i
489,"I am strongly in favor of Bill 2025 1579, the bill to reduce minimum required lot sizes in residential zoning.",i
490,This bill will eliminate minimum lot sizes per unit for all residential density sub-districts.,i
491,It will eliminate minimum lot sizes for very high density sub-districts.,i
492,"It will reduce minimum lot sizes for very low, low, medium and high density sub-districts.",i
493,This is good.,i
494,The minimum lot sizes requirement makes it harder to build housing in the city of Pittsburgh.,i
495,"Making it harder to build housing constrains supply, pushes up rents and drives people into homelessness.",i
496,"Reducing or eliminating these requirements allows more supply, pushing down rents and decreasing homelessness.",i
497,"I want to thank Councilman Wilson, Councilmember Sharland and Councilmember Warwick for sponsoring this bill.",i
498,I especially want to thank Councilmember Warwick for setting up a bill that will reduce minimum lot sizes for very low density sub-districts.,i
499,"I also want to thank Councilmember Wilson and Councilmember Warwick for setting up a meeting last year on May 22nd between her Chief of Staff, Lauren Bilko, David Vatz and myself to discuss an earlier version of this bill that would only reduce minimum lot sizes for medium, high and very high density sub-districts.",i
500,"If we only eliminate minimum lot sizes of higher density sub-districts, we exacerbate the exclusionary effects of minimum lot sizes in lower density sub-districts.",i
501,"I am pleased that after our discussion, the legislation was expanded to reduce minimum lot sizes for very low and low sub-districts as well.",i
502,"However, I want to emphasize that this bill does not go far enough.",i
503,Minimum lot sizes have long been used as an exclusionary tool to keep housing prices artificially high and to discriminate against the poorer members of our society.,i
504,They were initially used as a substitute for explicitly racially segregationist language in zoning after the Supreme Court ruled in 1917- Buchanan v Worley- that such explicit racial language was unconstitutional.,i
505,"For more information, visit wwwbuchanangov.",i
506,Thank you.,i
507,"For more on this background, please see The Color of Law by Richard Rothstein.",i
508,Minimum lot sizes were not regulated by the City of Pittsburgh until 1923.,i
509,Half of our housing supply is pre-World War II.,i
510,Any inclusion of minimum lot sizes whatsoever in the zoning code is a racist holdover and ought to be expunged.,i
511,This bill reduces some minimum lot sizes and eliminates others.,i
512,"That's a step in the right direction, but we ought to go the distance and eliminate minimum lot sizes altogether.",i
513,"There are, for example, many lots currently zoned Residential multifamily, moderate density that are 45 feet by 20 feet, 900 square feet.",i
514,"Even with this bill, you still can't build on those lots.",i
515,Many of these lots are on the sites of former row houses and apartment buildings in the Hill District that have since been torn down.,i
516,"As long as minimum lot sizes remain in place, we are prohibiting rebuilding the housing that used to be there.",i
517,The bill does take one step in the wrong direction.,i
518,It introduces a height maximum of 180 feet in residential multifamily very high density sub-districts.,i
519,"But even with that flaw and even though it doesn't go the distance, I'm in favor of this bill.",i
520,Please eliminate all minimum lot sizes in the future.,i
521,Thank you for your time.,i
522,Thank you.,i
523,Our next speaker is Mark Masterson.,i
524,"Hello, My name is Mark Masterson and thank you for the opportunity to speak today.",i
525,I'm a resident of Observatory Hill in Councilman Wilson's district.,i
526,I'm on the Pittsburgh's north side.,i
527,I've also served as a member of the Affordable Housing Task Force a decade ago and I served on the Housing Opportunity Fund Advisory Board until last year.,i
528,"I've been here long enough to witness the powerful transformations of some of our neighborhoods: Vacant buildings brought back to life, new investment and a stronger tax base.",i
529,But I've also watched with real heartbreak as neighbors who helped rebuild these neighborhoods were pushed to the brink.,i
530,Thank you.,i
531,"I'm here because I believe that every Pittsburgh, rich or poor, deserves a safe, affordable place to live with dignity.",i
532,But right now that basic right is slipping further and further out of reach.,i
533,"We're in the middle of an affordable housing crisis and it's hitting our lowest income households the hardest, and they are being displaced at an alarming rate.",i
534,Reforming minimum lot sizes is a difficult task.,i
535,"It's a good idea, but it needs to be passed as part of the Comprehensive Affordable Housing Zoning Package recommended by the City Planning Commission, Not cherry-picked to suit developers.",i
536,"Inclusionary zoning is vital, and stripping it out and pulling this piece out of it weakens the whole approach.",i
537,We need to be bold.,i
538,We need not be piecemeal.,i
539,"If we go piecemeal, you're going to have some real unintended consequences.",i
540,I'm not going to be a piece of that.,i
541,I'm going to be a piece of that.,i
542,I'm going to be a piece of that.,i
543,That's going to be a person-centered approach.,i
544,That's going to be a person-centered approach.,i
545,I'm going to be a person-centered approach And that's going to put our city at risk of having consequences that it's going to put even more pressure on affordable housing supply in the city by allowing development of even more short-term rentals.,i
546,Pittsburgh can't afford to wait any longer.,i
547,We've had seven months of delays here.,i
548,This is something that was recommended a decade ago by the Affordable Housing Task Force.,i
549,Now is the time for City Council to act and to schedule hearings and to reject the so-called enhanced inclusionary zoning and pass the plan.,i
550,"Thank you, full package.",i
551,this is about economic justice and it's about giving every pittsburgh a real chance to thrive right here in their own neighborhoods.,i
552,"so let's make sure that our city's growth is shared equitably, intentionally and boldly.",i
553,"thank you all right, thanks.",i
554,next speaker is claude kaplan.,i
555,"hey, can you hear me?",i
556,is that a?,i
557,yes?,i
558,"yes, we can hear you.",i
559,"hello, members of city council.",i
560,my name is vlad kaplan.,i
561,i live in east liberty.,i
562,i'm here to speak in support of the proposed minimum lot size reform.,i
563,"i want to thank council members wilson, warwick and charlotte for sponsoring this bill.",i
564,we've been talking about how bad our zoning is for years and we're finally starting to see some action.,i
565,"last year you passed councilman wilson's bill that let houses touch on many lots where they weren't allowed to before, and now you've really stepped it up with the city council and you're going to be doing some more action in the future as well with this broader city-wide zoning reform.",i
566,"i think the planning staff pretty much nailed it in their presentation, so i'll be brief in singing its praises, but this legislation allows for smaller homes on small lots, creating opportunities for building starter homes.",i
567,it makes a bunch of idle land usable and ready to build homes on.,i
568,"it supports higher density neighborhoods, from single-family homes to small apartment buildings, which will give pittsburgers more opportunities to live near jobs, transit, shopping and amenities.",i
569,"here in east liberty we're a walkable, bikeable and well-connected neighborhood, but our town center still has some empty storefronts waiting to be filled.",i
570,more people in the neighborhood could really light up our commercial center and support the local economy.,i
571,more available homes give renters and homebuyers leverage in picking where they want to live and will help with housing affordability.,i
572,i want to thank the council for its initiative in moving this forward.,i
573,"there's a world there's a world where zoning reform got tabled until the end of a year's long comprehensive plan process, even with the community meetings that have already happened and all the work that the planning department has already done.",i
574,we need more homes as soon as possible and this common sense reform will help that happen.,i
575,homes aren't built in a day and our housing shortage is both real and urgent.,i
576,i thank you for getting the ball rolling and i thank you for splitting this legislation from the big package of bills and considering it separately.,i
577,"i know some of you didn't love doing that, but you did it anyway because pittsburgh needs this.",i
578,"i look forward to seeing the parking reform, transit oriented development and granny flat legislation on your agenda.",i
579,"go pittsburgh, go pens.",i
580,"thank you, thank you.",i
581,our next speaker is nick petrillo.,i
582,"thank you, councilman wilson.",i
583,"council members, thank you for this hearing and this opportunity to speak.",i
584,my name is nick petrillo.,i
585,"i live on the north side, in brighton heights.",i
586,i serve on the board of directors of the brighton heights rco and newton county.,i
587,"i'm a board of directors of the brandeis council, of the large-scale emergency building in pasadena and i'm the board of directors of the brighton heights rcap as the land use chair.",i
588,"I will say the Brighton Heights citizens Federation has not taken a position, so I'm here as just a citizen.",i
589,"going back, someone else referenced this- one of the first planning commissioners of Pittsburgh, Morris Knowles, in 1923, before City Council adopted the first zoning code of our city.",i
590,said zoning is the application of common sense and fairness to the public regulations governing the use of private real estate.,i
591,it seeks to make cities better places to live and work.,i
592,"in the legislation before you, performing minimum lot sizes is a good change to allow more housing.",i
593,"however, it doesn't go far enough.",i
594,"this council should pass the entirety of the housing needs assessment package, from minimum lot sizes, parking reforms, legalized accessory dwelling units and citywide inclusionary zoning.",i
595,"for example, multiple smaller vacant lots the city owns itself in Marshall Shadeland, just across the bridge from me, are zoned are to.",i
596,"this zoning change would allow a duplex to be built on them, but with the parking minimums they would essentially need a two-car garage on a lot that is less than 20 feet wide, so it still doesn't make it far enough for ad use.",i
597,I don't know why.,i
598,"I don't know of any argument why I shouldn't be able to say, use my garage or a basement for an apartment for my mother-in-law or maybe for a young cousin who wants to come to Pittsburgh to go to college.",i
599,"finally, inclusionary zoning, the elephant in the room, the cause of the 11-hour monstrosity of a Planning Commission meeting.",i
600,I just want to be clear about my opinion on this.,i
601,it doesn't matter how many studies are issued.,i
602,"the true answer is: no one here knows if inclusionary zoning will create more or less housing units, but the argument about whether it will or not is the wrong argument.",i
603,"inclusionary zoning is about whether the same building can house a Google engineer paid 200,000 and the person that cleans their house making 30,000.",i
604,paraphrasing again from a hundred years ago.,i
605,zoning is to make cities better places to live.,i
606,"is Pittsburgh better with the rich neighborhoods and poor neighborhoods, or is it better if the children of PNC, peas and commonplace baristas can play together just outside their front door?",i
607,that is the question I leave to you to answer.,i
608,I urge you to pass all of the zoning amendments.,i
609,thank you again.,i
610,our next speaker is Allison Keating.,i
611,"hi, yeah, this is Allison Keating.",i
612,live in Manchester.,i
613,I live in Manchester.,i
614,"I'm speaking in support, but also annoyance.",i
615,"you know like this has been pulled out because folks want to play, you know, political games.",i
616,I would rather not see that happen.,i
617,"you know, like we don't, there's like zero normal people at this hearing, like, like, like it's all folks who, like, deeply care about this issue and we all agree that this needs to be done, and and and we should do it, and we don't know that that's going to happen.",i
618,that would actually help us just not have the same governmental pitch that we have on our mess dry.,i
619,"so you know what we've, whatever, but like you know, like we do also need the whole package, Like, like, yes, you know, like several people have pointed out like this will, this will streamline permitting, and like that's cool, but like it doesn't actually actuate a lot of like the really more less expensive housing to build, that is like significantly less expensive to build than a single family home, It, it.",i
620,it just simply does not actuate.,i
621,"that because it doesn't allow, you know, it doesn't reduce the parking, which is that's the big killer.",i
622,"yeah, So, yeah, cool, Do it and do more.",i
623,"Thanks, Thank you.",i
624,Our next speaker is Cheryl Stevens.,i
625,Good afternoon.,i
626,My name is Cheryl Stevens.,i
627,"I'm the community organizing manager with Pittsburghers for public transit, or PPT, And our office is located in Shadyside on Ellsworth Avenue.",i
628,"I'm speaking today regarding council member Wilson's bill around minimal lot size, which mirrors the bill drafted by councilwoman Warwick and which is already included in the mayor's housing needs assessment zoning package.",i
629,Affordable housing matters to transit riders.,i
630,"Many of our members have been pushed out of the city of Pittsburgh and far more also away from quality transit They rely on to access food, their kids' school jobs and the communities that they love and where their loved ones reside.",i
631,"I work with transit riders that have recently become homeless, Others who have been stranded in communities where only a single transit route runs about every 70 minutes.",i
632,"This doesn't just affect our members, Of course.",i
633,we know that the scale of the crisis is staggering.,i
634,The New York post last week reported that renters haven't.,i
635,"rents have increased by 50% in Pittsburgh since 2019, facing every other major city.",i
636,"It will take a bold and comprehensive set of solutions to stop that harm, Not just piecemeal policies.",i
637,"That is the point of the mayor's proposed zoning package, which is the product of years of research by our city planning staff and communication with other cities that have been successful in tackling the housing crisis, seven months of public engagement and negotiations in overwhelmingly recommend recommendation by the planning commission After The 11 hour long public hearing.",i
638,"the zoning package was built with great care to include developer incentives like the minimum lot size, right size seeing parking obligations and density bonuses in order to ensure that affordable affordability protections can be expanded in our city.",i
639,"While PPT supports minimum lot size reform, the housing package should not.",i
640,should not and cannot be stripped from the parts.,i
641,We don't just need more housing.,i
642,"We need desegregated housing, accessible housing, available to the most vulnerable among us, whose exodus from the city of Pittsburgh has been the result of policies that prioritize developers over our people.",i
643,"We cannot continue the same thought package through the passage of the minimum lot size legislation without concurrently adopting the policies, like citywide inclusionary zoning, that ensure that low income people like our transit riders can afford to live here.",i
644,I'm calling on council to stop delaying and to take up the discussion of the minimum lot size reform in concert with the rest of the aspects of the zoning amendments package and not through council member Wilson's bill.,i
645,"Thank you, Thank you.",i
646,Our last registered speaker is Rebecca Rinala.,i
647,Good afternoon.,i
648,"My name is Rebecca Rinala and I live in the north sides, Perry north neighborhood And council district one.",i
649,I am here to support council bill 1579 reforming reforming minimum lot sizes and to encourage council to move swiftly to schedule a public hearing on the broader set of amendments designed by the city's planning department to more comprehensively address our outdated zoning code and our affordable housing crisis.,i
650,Stable and affordable housing is not something I've had the luxury of ever taking for granted.,i
651,"Growing up poor, my family moved frequently, constantly chasing a cheaper rent, So my parents could afford to pay for my brothers and me to play sports, get school clothes or simply receive Christmas presents.",i
652,"Councilman Wilson, I know that you too come from a family with its own story of displacement and I believe that you care about protecting affordability in your district and beyond.",i
653,"I thank you for the support, for the support that you've provided for me as I work to play my own part in preserving affordable housing in Pittsburgh's north side.",i
654,"I support your effort to reform minimum lot sizes, But I question why you are stripping it out of the more comprehensive package of solutions that our planning department spent years, under multiple administrations, studying and developing.",i
655,The housing crisis facing our city and nation needs bold systems level solutions and the system and the cities that are serious about addressing this crisis in a meaningful way are not doing it through piecemeal approaches.,i
656,"We need comprehensive solutions that we deliver at scale, not Bills that are blessed by profit motivated developers who are driven by their bottom lines, not by the greater good of our city's residents.",i
657,The housing needs assessment zoning package is this comprehensive approach.,i
658,"Our expert city planners have engaged people all over the city over several years to provide input, resulting in a thoughtfully crafted set of amendments that now await action by city council.",i
659,I urge council to move swiftly and courageously to schedule a public hearing about this package.,i
660,Please do not strip this package into parts.,i
661,Piecemeal approaches to this work undermine the cumulative effects that these reforms are meant to have.,i
662,"For example, the positive effects of the minimum lot size reform don't really function as well without also passing parking reforms.",i
663,"Let's make it easier to build housing and more neighborhoods, while also working intentionally to desegregate our communities and ensure that new housing benefits Pittsburghers of all incomes.",i
664,Let's show the working people who make this city run And the cities around the country that Pittsburgh is ready to lead.,i
665,"Thank you, Thank you, And are there any speakers at this time that are not registered then would like to speak?",i
666,You have one minute to speak.,i
667,"Yeah, there are.",i
668,is it okay for me to introduce myself?,i
669,"Yes, please.",i
670,"I was saying it's just that you know you have one minute to speak for unregistered, So I'm going to start with you, Okay, Thank you.",i
671,my name is John Rhodes and I live in Polish Hill.,i
672,"I serve as a board member of affordable housing, nonprofit city of bridges community land trust, and I'm a member of the housing justice table.",i
673,I'm in support of this bill.,i
674,"I'm in support of this bill because I want our city and my neighborhood to be a more affordable, inclusive and transit friendly place.",i
675,"But right now, Pittsburgh is facing a crisis on all those fronts And my neighborhood of Polish Hill is experiencing that firsthand.",i
676,"According to the U S census, from 2012 to 2022, the median sale price in Polish Hill nearly quadrupled.",i
677,black residents decreased by 48%.,i
678,"Our population decreased by 11%, housing units decreased by 13%, with rental units decreasing at twice the rate as owner occupied homes.",i
679,Yet apartments are 20 times more likely to have no car than owner occupied homes.,i
680,"The evidence is clear: under the current zoning, Polish Hill has become the smallest, most expensive, least diverse place It has ever been.",i
681,"I am in favor of removing barriers to building more housing because, as all the evidence shows, the more homes there are, the lower housing costs get.",i
682,I support this bill.,i
683,Thank you so much.,i
684,"Thank you Next speaker, please.",i
685,"Yes, my name is Sandra Cole and I'm I'm here from the greater Hazelwood, the community, So I'm speaking on behalf of the residents out in our community.",i
686,"Our community at this point is being gender fat 100% and there are families that been in this community for decades And right now I'm in agreement for passing this bill, moving it forward, because it is important for our residents out in the community to be able to stay in the community.",i
687,"there are, like I said, there's like four generations of families that live out there And they don't want to be they.",i
688,we don't want to end up like East Liberty.,i
689,"We don't want our people to be divided, having to go to different, different communities.",i
690,"We would like this, this bill, to be passed as soon as possible And let's think about the people instead of the brick and mortar all the time, because a lot of times we come and it's all about the brick and mortar, but make this about the people this time.",i
691,"Thank you, Thank you.",i
692,Are there any more speakers that would wish to speak for this hearing?,i
693,Any more speakers that wish to speak?,i
694,"If not, at this time, I'd like to turn turn it over to council members.",i
695,I see that we have two council members and I do not know which.,i
696,which one entered the room first.,i
697,Our our tradition of who enters the room first gets to speak first.,i
698,"So whoever you know starts speaking first, you win.",i
699,"Thank you, councilman, thank you to everybody who came here today And for those who stuck around.",i
700,I want to start by just talking a bit.,i
701,"I just did a quick, just well, a little bit.",i
702,"while folks were talking, while y'all were presenting, I did a quick Google search.",i
703,"so not comprehensive by any means, but just a quick Google search of some of our luxury, like apartment complexes around the city: Walnut towers at Frick, that's in squirrel Hill, that has 10 vacant units right now.",i
704,the glass house at station square is offering up to one month of free rent for leases starting by May 31st.,i
705,"Brewers block in Lawrenceville- also, you know, leasing specials, limited time, right, So they've got vacancies.",i
706,"the cork factory and the strip: again leasing specials, limited time- right, That says vacancy to me.",i
707,"the bricks on the south side: three of 26, 19 units now available.",i
708,The Commonwealth downtown: six of 19 units available immediately.,i
709,"Industry Pittsburgh in Shadyside: again up to one month free rent if you, you know, sign up now.",i
710,"And Coda in East Liberty, also up to one month free rent if you sign up now.",i
711,"So that to me- and again, not comprehensive, not you know- but that to me sounds like vacancies in these luxury buildings.",i
712,"That sounds like empty apartments And I can promise you that if these folks were to lower the rents in these luxury apartments to something that someone who makes 17 an hour can afford, they'd be filled immediately.",i
713,"So you know, it's not about a housing shortage, It is about an affordable housing shortage.",i
714,So you know.,i
715,"again, thank you to everyone here and everyone's so nice.",i
716,I really appreciate all the thanks from the pro housing Pittsburgh folks.,i
717,"Thank you, Thank you, And I I can get a little, you know, get a little frustrated, but I still believe that, for for most of the membership, right, Your intentions are good.",i
718,"right, I think you're nice people.",i
719,I don't think you're bad people.,i
720,"I think your intentions are good, but I think that you have been brought in to this national Yimby movement that was started by tech companies and developers in the Bay Area to build luxury housing in San Francisco so that they could, you know, and, and, and those same folks, those same developers, back in twenty eighteen, twenty nineteen, saw in Pittsburgh, oh oh, Pittsburgh, in this neighborhood called Lawrenceville, and what we're starting to do: inclusionary zoning.",i
721,"let's get on it, Yimby.",i
722,let's get on it.,i
723,"Let's find somebody who's from Pittsburgh who has worked for one of our tech companies, Let's list him to go a salesperson, to go back to Pittsburgh and to sell our vision and our Kool-Aid to you.",i
724,That is what I think is what I had to say to you.,i
725,"I think, and I understand, that that feels hurtful to a lot of you, but you know, I just so.",i
726,"and here's what bothers me is, y'all talk a lot about black people and you talk about when he's leaving.",i
727,you talk about our racist zoning code.,i
728,"in a recent forum that I went to, you gave me a copy of Richard Rothstein's the color of law that talks about segregation and redlining.",i
729,"yet, in spite of all the good faith efforts to require building by building desegregation right via inclusionary zoning- a very modest 10 percent of units in projects of 20 units or more- despite my good faith efforts, as has been noted here, to sit down and have meetings with you guys and figure out, together with our, you know, with- and it wasn't just pro-housing right- architects, developers, our city planning folks, to figure out a way so you could build more, right, you know, build more, build higher, do all these things.",i
730,this was a good faith effort.,i
731,"this was a good faith effort to try and get us to a place where this developer community like, okay, you know, how can we, you know, really just make sure, make sure, make a hundred percent sure that we can come back to the place where we can build more and more and we can build more and more and we can build more and more and we can build more and we can build more and we can cover that 10 percent of units.",i
732,"and you know, throughout all of this, the Yimby movement, which is made up for the, for the most part of, you know, relative high earners, uses the language of oppression to talk about themselves, uses the- you know, uses black people to talk about themselves.",i
733,"You know co-opting like yard signs that were created, you know, created, you know, back in the George Floyd era to uplift black lives and co-opting that artwork to sort of push your own movement.",i
734,I've even gotten emails.,i
735,"I got an email recently that referred to- and I'm not kidding about this and I funny, I'd like referred to- the folks who are coming to Pittsburgh, But because of the fires- a fire, by the way, that the house that my mother lived in in Altadena before she moved here burned to the ground, A house that she rented.",i
